1.8	2.53935
1.81	1.9534
1.82	1.39665
1.83	0.869655
1.84	0.372336
1.85	-0.0968679
1.86	-0.539124
1.87	-0.95613
1.88	-1.3464
1.89	-1.71022
1.9	-2.04784
1.91	-2.35957
1.92	-2.64571
1.93	-2.90899
1.94	-3.14937
1.95	-3.36747
1.96	-3.56508
1.97	-3.73888
1.98	-3.88925
1.99	-4.01994
2	-4.12848
2.01	-4.21604
2.02	-4.2832
2.03	-4.33372
2.04	-4.36498
2.05	-4.37875
2.06	-4.37549
2.07	-4.35573
2.08	-4.32085
2.09	-4.27138
2.1	-4.20873
2.11	-4.13434
2.12	-4.04982
2.13	-3.95638
2.14	-3.85546
2.15	-3.74842
2.16	-3.6366
2.17	-3.52129
2.18	-3.4038
2.19	-3.28507
2.2	-3.16611
2.21	-3.04786
2.22	-2.93114
2.23	-2.81671
2.24	-2.70531
2.25	-2.59827
2.26	-2.4949
2.27	-2.39555
2.28	-2.30051
2.29	-2.21
2.3	-2.12415
2.31	-2.04303
2.32	-1.96668
2.33	-1.89507
2.34	-1.82812
2.35	-1.76574
2.36	-1.7078
2.37	-1.65413
2.38	-1.60457
2.39	-1.55895
