217

C 	10.3336419	10.25337296	0.2673024316
C 	0.8656422898	0.8664069527	10.24525896
C 	10.36452535	1.75980153	1.793050509
C 	1.759884722	10.36451852	1.792851714
C 	1.790645583	1.87106129	0.267358328
C 	2.61225357	2.612673937	2.625272681
C 	2.695541812	0.853515246	0.9910821003
C 	0.8498159112	2.71889202	1.005344835
C 	0.8660912922	0.8659575671	2.614098746
C 	10.38835783	10.38805823	3.472999213
C 	10.389974	1.734514869	5.19628616
C 	1.734435437	10.38978711	5.196360238
C 	1.736156071	1.736139342	3.472999128
C 	2.605817503	2.605348099	6.050488742
C 	2.603099731	0.8654687714	4.335282838
C 	0.865588666	2.603120478	4.335227685
C 	0.8660326274	0.8660182295	6.057846255
C 	10.38208748	10.38275965	6.905145448
C 	10.35357598	1.851161842	8.486461526
C 	1.770338056	10.27367009	8.486945591
C 	1.742212943	1.741648128	6.905149288
C 	2.570937681	2.579731882	9.558761524
C 	2.655985284	0.8651796408	7.722930675
C 	0.8720682861	2.680318173	7.707217575
C 	0.8655920113	0.866250911	8.949286226
C 	0.004288022893	3.476099769	0.01668114772
C 	10.38758125	5.205283053	1.738359617
C 	1.749710746	3.538500625	1.808562805
C 	1.734388798	5.199101445	10.39206192
C 	2.60584332	6.061436688	2.603621134
C 	2.60585677	4.345202397	0.872956244
C 	0.8660542042	6.062167282	0.8674410398
C 	0.8599900581	4.372312617	2.640145513
C 	10.38744797	3.482064635	3.485605559
C 	10.38856322	5.206352915	5.199928266
C 	1.734355413	3.470695365	5.194911669
C 	1.737955176	5.215718836	3.486483025
C 	2.602548963	6.059896611	6.068079384
C 	2.602602684	4.336799599	4.337153134
C 	0.8660527759	6.062230404	4.346224295
C 	0.8680987663	4.349988339	6.046642619
C 	10.38045759	3.506620006	6.885579399
C 	10.39071164	5.197517405	8.658385896
C 	1.724904273	3.460148119	8.666561926
C 	1.734209399	5.195809573	6.930583085
C 	2.600569826	6.061651818	9.523709874
C 	2.600067568	4.328274301	7.800741702
C 	0.8660281253	6.062174477	7.792725691
C 	0.8643666995	4.333038574	9.528407707
C 	10.39002022	6.925244772	10.39206261
