r765 	 mec07 	 2012-03-23 03:22:00 	2
r764 	 mec07 	 2012-03-23 03:19:52 	2
r763 	 mec07 	 2012-03-23 03:03:41 	2
r762 	 mec07 	 2012-03-23 03:00:56 	2
r761 	 vhc08 	 2012-03-23 03:00:26 	2
r760 	 mmk07 	 2012-03-23 02:49:14 	2
r759 	 vhc08 	 2012-03-23 02:44:36 	2
r758 	 bk308 	 2012-03-23 02:27:25 	1
r757 	 mmk07 	 2012-03-23 02:14:07 	2
r756 	 mmk07 	 2012-03-23 02:12:31 	2
r755 	 bk308 	 2012-03-23 01:56:46 	1
r754 	 bk308 	 2012-03-23 01:56:09 	1
r753 	 bk308 	 2012-03-23 01:41:52 	1
r752 	 bk308 	 2012-03-23 01:25:00 	1
r751 	 mmk07 	 2012-03-23 01:14:34 	2
r750 	 mmk07 	 2012-03-23 01:14:02 	2
r749 	 mmk07 	 2012-03-23 01:10:10 	2
r748 	 bk308 	 2012-03-23 01:01:42 	1
r747 	 bk308 	 2012-03-23 00:56:14 	1
r746 	 mmk07 	 2012-03-23 00:55:14 	2
r745 	 mmk07 	 2012-03-23 00:36:59 	2
r744 	 dmr110 	 2012-03-23 00:36:34 	2
r743 	 mmk07 	 2012-03-23 00:34:20 	2
r742 	 mmk07 	 2012-03-23 00:27:42 	2
r741 	 bk308 	 2012-03-23 00:18:14 	1
r740 	 mmk07 	 2012-03-23 00:13:59 	2
r739 	 mmk07 	 2012-03-23 00:09:45 	2
r738 	 bk308 	 2012-03-23 00:07:32 	1
r737 	 mmk07 	 2012-03-23 00:01:04 	2
r736 	 dmr110 	 2012-03-22 23:57:59 	2
r735 	 bk308 	 2012-03-22 23:56:51 	1
r734 	 bk308 	 2012-03-22 23:52:07 	1
r733 	 mec07 	 2012-03-22 23:49:13 	2
r732 	 mec07 	 2012-03-22 23:38:23 	2
r731 	 dmr110 	 2012-03-22 23:33:05 	1
r730 	 mmk07 	 2012-03-22 22:54:36 	2
r729 	 mmk07 	 2012-03-22 22:42:55 	2
r728 	 bk308 	 2012-03-22 22:37:11 	1
r727 	 mec07 	 2012-03-22 22:33:40 	2
r726 	 mmk07 	 2012-03-22 22:33:37 	4
r725 	 vhc08 	 2012-03-22 22:32:03 	2
r724 	 vhc08 	 2012-03-22 22:30:53 	2
r723 	 dmr110 	 2012-03-22 22:28:03 	1
r722 	 mec07 	 2012-03-22 22:24:49 	2
r721 	 dmr110 	 2012-03-22 22:20:40 	2
r720 	 mec07 	 2012-03-22 22:17:12 	2
r719 	 mec07 	 2012-03-22 22:14:31 	2
r718 	 ah808 	 2012-03-22 22:07:40 	1
r717 	 mec07 	 2012-03-22 22:01:01 	3
r716 	 mec07 	 2012-03-22 21:51:36 	2
r715 	 mec07 	 2012-03-22 21:48:06 	2
r714 	 dmr110 	 2012-03-22 21:45:13 	2
r713 	 dmr110 	 2012-03-22 21:44:58 	2
r712 	 mec07 	 2012-03-22 21:31:11 	2
r711 	 vhc08 	 2012-03-22 21:17:05 	2
r710 	 vhc08 	 2012-03-22 21:16:23 	2
r709 	 ah808 	 2012-03-22 21:07:12 	1
r708 	 bk308 	 2012-03-22 21:04:38 	3
r707 	 ah808 	 2012-03-22 20:44:21 	1
r706 	 bk308 	 2012-03-22 20:44:17 	2
r705 	 ah808 	 2012-03-22 20:32:18 	1
r704 	 mec07 	 2012-03-22 20:32:02 	2
r703 	 mmk07 	 2012-03-22 20:29:45 	2
r702 	 ah808 	 2012-03-22 20:22:37 	1
r701 	 ah808 	 2012-03-22 20:05:50 	1
r700 	 mec07 	 2012-03-22 20:05:25 	2
r699 	 mec07 	 2012-03-22 20:00:48 	1
r698 	 dmr110 	 2012-03-22 19:59:18 	2
r697 	 ah808 	 2012-03-22 19:55:31 	1
r696 	 mec07 	 2012-03-22 19:47:48 	1
r695 	 ah808 	 2012-03-22 19:37:43 	1
r694 	 mec07 	 2012-03-22 19:32:16 	1
r693 	 mec07 	 2012-03-22 19:29:28 	2
r692 	 mec07 	 2012-03-22 19:26:54 	2
r691 	 mmk07 	 2012-03-22 19:20:30 	2
r690 	 bk308 	 2012-03-22 18:03:37 	1
r689 	 dmr110 	 2012-03-22 17:59:31 	2
r688 	 mec07 	 2012-03-22 17:55:30 	2
r687 	 mec07 	 2012-03-22 17:53:41 	2
r686 	 mec07 	 2012-03-22 17:53:02 	2
r685 	 ah808 	 2012-03-22 17:43:08 	1
r684 	 vhc08 	 2012-03-22 17:35:12 	2
r683 	 vhc08 	 2012-03-22 17:34:28 	2
r682 	 dmr110 	 2012-03-22 17:19:00 	2
r681 	 dmr110 	 2012-03-22 17:12:55 	2
r680 	 bk308 	 2012-03-22 17:08:12 	1
r679 	 dmr110 	 2012-03-22 17:05:03 	2
r678 	 dmr110 	 2012-03-22 17:02:57 	2
r677 	 mec07 	 2012-03-22 16:58:38 	2
r676 	 bk308 	 2012-03-22 16:52:10 	1
r675 	 mec07 	 2012-03-22 16:51:22 	1
r674 	 mec07 	 2012-03-22 16:45:11 	2
r673 	 mec07 	 2012-03-22 16:42:20 	2
r672 	 mec07 	 2012-03-22 16:39:54 	2
r671 	 ah808 	 2012-03-22 16:33:52 	1
r670 	 ah808 	 2012-03-22 16:33:22 	1
r669 	 ah808 	 2012-03-22 16:32:42 	1
r668 	 mec07 	 2012-03-22 16:22:12 	2
r667 	 bk308 	 2012-03-22 16:21:16 	1
r666 	 dmr110 	 2012-03-22 15:59:39 	2
r665 	 mec07 	 2012-03-22 15:59:29 	1
r664 	 ah808 	 2012-03-22 15:58:34 	1
r663 	 bk308 	 2012-03-22 15:55:45 	2
r662 	 ah808 	 2012-03-22 15:53:09 	1
r661 	 dmr110 	 2012-03-22 15:45:16 	2
r660 	 dmr110 	 2012-03-22 15:44:40 	2
r659 	 ah808 	 2012-03-22 15:43:14 	1
r658 	 dmr110 	 2012-03-22 15:31:40 	2
r657 	 dmr110 	 2012-03-22 14:58:12 	2
r656 	 mec07 	 2012-03-22 14:40:00 	2
r655 	 dmr110 	 2012-03-22 14:06:18 	2
r654 	 bk308 	 2012-03-22 13:51:57 	2
r653 	 mec07 	 2012-03-22 13:42:27 	2
r652 	 bk308 	 2012-03-22 13:36:26 	1
r651 	 bk308 	 2012-03-22 13:32:02 	2
r650 	 vhc08 	 2012-03-22 13:17:29 	3
r649 	 dmr110 	 2012-03-22 13:10:27 	2
r648 	 bk308 	 2012-03-22 13:09:11 	2
r647 	 mmk07 	 2012-03-22 12:52:34 	2
r646 	 bk308 	 2012-03-22 12:42:23 	2
r645 	 mmk07 	 2012-03-22 12:00:34 	2
r644 	 dmr110 	 2012-03-22 11:38:47 	2
r643 	 bk308 	 2012-03-22 11:34:01 	1
r642 	 dmr110 	 2012-03-22 11:33:03 	2
r641 	 mec07 	 2012-03-22 11:25:47 	2
r640 	 mec07 	 2012-03-22 11:14:35 	2
r639 	 mec07 	 2012-03-22 11:12:48 	2
r638 	 mec07 	 2012-03-22 11:04:08 	3
r637 	 mec07 	 2012-03-22 10:57:24 	2
r636 	 bk308 	 2012-03-22 10:24:59 	2
r635 	 bk308 	 2012-03-22 10:20:53 	2
r634 	 bk308 	 2012-03-22 09:56:21 	3
